pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	shiwxryn	xrynshiep	khwixwp	twixryi	sishieng	xrynmyuk	shiengmu	xrynmu	thongqitmra
0342D-lim2	㐭		lím	lim2	寢	深	開	三	上	寢	來	侵	U+342D
034B8-zyi3	㒸		zŷi	zyi3	寘	止	合	三	去	至	邪	脂	U+34B8
034F9-chyei3	㓹		chyêi	chyei3	霽	蟹	合	三	去	祭	清	祭	U+34F9
03537-lu3	㔷		lû	lu3	宥	流	開	一	去	候	來	侯	U+3537
0355F-khruei3	㕟		khruêi	khruei3	卦	蟹	合	二	去	怪	溪	皆	U+355F
03561-qhak4	㕡		qhak	qhak4	藥	宕	開	一	入	鐸	曉	唐	U+3561
03762-xyo2	㝢		xyó	xyo2	麌	遇	合	三	上	麌	云	虞	U+3762
03775-ngwi3	㝵		ŋə̂i	ngwi3	隊	蟹	開	一	去	代	疑	咍	U+3775
03775-twk4	㝵		tək	twk4	職	曾	開	一	入	德	端	登	U+3775
037B7-gyang1	㞷		gyaŋ	gyang1	陽	宕	合	三	平	陽	群	陽	U+37B7
037B7-xuang1	㞷		xuaŋ	xuang1	陽	宕	合	一	平	唐	匣	唐	U+37B7
038C7-dei3	㣇		dêi	dei3	霽	蟹	開	四	去	霽	定	齊	U+38C7
038C7-ji3	㣇		jî	ji3	寘	止	開	三	去	至	以	脂	U+38C7
0394F-then2	㥏		thén	then2	銑	山	開	四	上	銑	透	先	U+394F
03951-qyu1	㥑		qyu	qyu1	尤	流	開	三	平	尤	影	尤	U+3951
0395C-xyui3	㥜		xyûi	xyui3	未	止	合	三	去	未	云	微	U+395C
039C6-kiwn3	㧆		kiə̂n	kiwn3	問	臻	開	三	去	焮	見	欣	U+39C6
039C6-krin3	㧆		krîn	krin3	震	臻	開	三	去	震	見	真	U+39C6
03B87-them3	㮇		thêm	them3	艷	咸	開	四	去	㮇	透	添	U+3B87
03C8B-thriak4	㲋		thriak	thriak4	藥	宕	開	三	入	藥	徹	陽	U+3C8B
03D85-xrok4	㶅		xrok	xrok4	覺	江	開	二	入	覺	匣	江	U+3D85
03D94-brei3	㶔		brêi	brei3	卦	蟹	開	二	去	怪	並	皆	U+3D94
03FDF-keu1	㿟		kéu	keu1	蕭	效	開	四	平	蕭	見	蕭	U+3FDF
040D5-lrok4	䃕		lrok	lrok4	覺	江	開	二	入	覺	來	江	U+40D5
041DF-gian1	䇟		gian	gian1	元	山	開	三	平	元	群	元	U+41DF
041DF-gian3	䇟		giân	gian3	願	山	開	三	去	願	群	元	U+41DF
041DF-kian1	䇟		kian	kian1	元	山	開	三	平	元	見	元	U+41DF
0420E-jiep4	䈎		jiep	jiep4	葉	咸	開	三	入	葉	以	鹽	U+420E
0420E-thriep4	䈎		thriep	thriep4	葉	咸	開	三	入	葉	徹	鹽	U+420E
042CE-dren3	䋎		drên	dren3	諫	山	開	二	去	襇	澄	山	U+42CE
045B5-kun1	䖵		kun	kun1	元	臻	合	一	平	魂	見	魂	U+45B5
0470B-xui2	䜋		xúi	xui2	賄	蟹	合	一	上	賄	匣	灰	U+470B
0470B-xui3	䜋		xûi	xui3	隊	蟹	合	一	去	隊	匣	灰	U+470B
04819-bang1	䠙		baŋ	bang1	陽	宕	開	一	平	唐	並	唐	U+4819
048B5-xyun1	䢵		xyun	xyun1	文	臻	合	三	平	文	云	文	U+48B5
048BC-kyong1	䢼		kyoŋ	kyong1	冬	通	開	三	平	鍾	見	鍾	U+48BC
04964-brok4	䥤		brok	brok4	覺	江	開	二	入	覺	並	江	U+4964
04BCE-kan3	䯎		kân	kan3	翰	山	開	一	去	翰	見	寒	U+4BCE
04C94-giang1	䲔		giaŋ	giang1	陽	宕	開	三	平	陽	群	陽	U+4C94
04C94-grieng1	䲔		grieŋ	grieng1	庚	梗	開	三	平	庚	群	庚	U+4C94
04D52-nrit4	䵒		nrit	nrit4	質	臻	開	三	入	質	娘	真	U+4D52
04E00-qit4	一		qit	qit4	質	臻	開	三	入	質	影	真	U+4E00
04E01-teng1	丁		teŋ	teng1	青	梗	開	四	平	青	端	青	U+4E01
04E01-treng1	丁		treŋ	treng1	庚	梗	開	二	平	耕	知	耕	U+4E01
04E03-chit4	七		chit	chit4	質	臻	開	三	入	質	清	真	U+4E03
04E07-mwk4	万		mək	mwk4	職	曾	開	一	入	德	明	登	U+4E07
04E07-myan3	万		myân	myan3	願	山	合	三	去	願	明	元	U+4E07
04E08-driang2	丈		driáŋ	driang2	養	宕	開	三	上	養	澄	陽	U+4E08
04E09-sam1	三		sam	sam1	覃	咸	開	一	平	談	心	談	U+4E09
04E09-sam3	三		sâm	sam3	勘	咸	開	一	去	闞	心	談	U+4E09
04E0A-diang2	上		diáŋ	diang2	養	宕	開	三	上	養	禪	陽	U+4E0A
04E0A-diang3	上		diâŋ	diang3	漾	宕	開	三	去	漾	禪	陽	U+4E0A
04E0B-xra2	下		xrá	xra2	馬	假	開	二	上	馬	匣	麻	U+4E0B
04E0B-xra3	下		xrâ	xra3	禡	假	開	二	去	禡	匣	麻	U+4E0B
04E0F-men2	丏		mén	men2	銑	山	開	四	上	銑	明	先	U+4E0F
