pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	diangkoXrynbu	ZNgShiwxryn	ZNgShiwxrynPotyo	qrimtyo	ngrietyo	thongqitmra
0342D-lim2	㐭		lím	lim2	侵					U+342D
034B8-zyi3	㒸		zŷi	zyi3	物					U+34B8
034F9-chyei3	㓹		chyêi	chyei3	月					U+34F9
03537-lu3	㔷		lû	lu3	侯					U+3537
0355F-khruei3	㕟		khruêi	khruei3	物					U+355F
03561-qhak4	㕡		qhak	qhak4	鐸					U+3561
03762-xyo2	㝢		xyó	xyo2	魚					U+3762
03775-ngwi3	㝵		ŋə̂i	ngwi3	之				｛礙｝=｛碍｝。《玄應音義》卷第一《大方廣佛華嚴經》第一卷“罣礙”音義：“下古文‘硋’，同，五代反，《説文》：‘礙，止也。’又作‘閡’，郭璞以爲古文‘礙’字，《説文》：‘閡，外閉也。’經文作‘㝵’，音都勒反（tək），案衛宏《詔定古文官書》‘“㝵”、“得”二字同體，《説文》：“㝵，取也。”《尚書》“高宗夢㝵説（今本《書·説命上》作‘得’）”，是也’，‘㝵’非此義。”卷第六《妙法蓮華經》第一卷“無礙”音義：“〔下〕古文‘硋’，同，五代反，《説文》：‘礙，止也。’《廣雅》：‘礙，閡也。’經文作‘閡’，亦古文‘礙’字也，《小爾雅》：‘閡，限也。’《説文》午代反，外閉也，又作‘㝵’，音得（tək），《説文》：‘得，取也。’《尚書》‘高宗夢㝵説’，是也，按衛宏《詔定古文官書》云‘“㝵”、“得”二字同體’，‘㝵’非此用。”《廣雅·釋言》音：“閡，五代〔反〕。”《廣韵》：“礙，止也，距也，……。硋，上同。㝵，釋典云：‘无㝵也。’”	U+3775
03775-twk4	㝵		tək	twk4	職				｛得｝。《名義》：“㝵，丁勒反，取也。”《王韵》：“得，取。㝵，古文〻。”	U+3775
037B7-gyang1	㞷		gyaŋ	gyang1	陽				不明。《廣韵》：“㞷，草木妄生。”按：xuaŋの變種？｛狂｝？	U+37B7
037B7-xuang1	㞷		xuaŋ	xuang1	陽				不明。《名義》脱字。《宋本玉篇》：“㞷……《説文》云：‘草木妄生也，从之在土上。’户光切（此反切與大徐本同，蓋亦引用。）。”《説文》：“㞷……讀若皇。”繫傳：“㞷……户荒反。”此字實爲｛往（xyáŋ）｝之初文。訓爲“草木妄生”義者無實例於傳世、出土文獻。按：《説文》所謂者蓋｛葟｝。	U+37B7
038C7-dei3	㣇		dêi	dei3	質				jîの變種。《名義》：“㣇，徒計反。”《新撰字鏡》（引用《玉篇》部分）：“㣇，徒計、余志二反（–、jiə̂ ~ jî），⿰豸否貍也，一名河内豕名也，修豪也。”《廣韵》：“㣇，《説文》曰：‘修豪獸也，一曰：河内名豕也。’”	U+38C7
038C7-ji3	㣇		jî	ji3	質				dêiの變種。《王韵》：“㣇，猪。”《廣韵》：“㣇，《説文》曰：‘修豪獸，一曰：河内名豕也。’……《爾雅》作‘貄’。”《爾雅·釋獸》：“貄，修毫。”注：“毫毛長。”音義：“貄，本又作‘⿰豸隶’，亦作‘肆’，音四（sî）。”《釋文彙校》：“黄云：貄、⿰豸隶，皆‘⿰㣇帇（肄）’之變。”	U+38C7
03944-liwng1	㥄		liəŋ	liwng1	蒸					U+3944
0394F-then2	㥏		thén	then2	文					U+394F
03951-qyu1	㥑		qyu	qyu1	幽					U+3951
0395C-xyui3	㥜		xyûi	xyui3	物					U+395C
039C6-kiwn3	㧆		kiə̂n	kiwn3	文				krînの變種。《廣韵》：“㧆，覆巾名。”	U+39C6
039C6-krin3	㧆		krîn	krin3	文				kiə̂nの變種。｛巾｝。《名義》：“㧆，几刃反，以巾覆物也。”	U+39C6
03B0A-xuan2	㬊		xuán	xuan2	元					U+3B0A
03B87-them3	㮇		thêm	them3	侵					U+3B87
03C8B-thriak4	㲋		thriak	thriak4	鐸					U+3C8B
03D67-kat4	㵧		kat	kat4						U+3D67
03D85-xrok4	㶅		xrok	xrok4	覺					U+3D85
03D94-brei3	㶔		brêi	brei3	質					U+3D94
03E60-dun1	㹠		dun	dun1						U+3E60
03FDF-keu1	㿟		kéu	keu1	宵					U+3FDF
040D5-lrok4	䃕		lrok	lrok4	覺					U+40D5
041DF-gian1	䇟		gian	gian1	元			見音義欄。	kian、giânと异義不明。《名義》：“䇟，渠言反，筋本也，腱也。”	U+41DF
041DF-gian3	䇟		giân	gian3	元				kian、gianと异義不明。《宋本玉篇》：“䇟，渠建、巨言二切（–、gian），筋之本，亦作‘腱’。”《集韵》：“䇟，《説文》：‘筋之本也。’或作‘腱’。”	U+41DF
041DF-kian1	䇟		kian	kian1	元				gian、giânと异義不明。《集韵》：“腱，《博雅》：‘膂、腱，肉也。’一曰：筋之大（本？）者；或作……‘䇟’。”	U+41DF
