pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	ChXZiosryoSishieng	ChXZiosryoXrynmyuk	ChXZiosryoSieuxryn	ChXDzankryenlyi	ChXDzankryen	ChXPyanchet	ChXPyanchetPotyo	XXPyanchet	XXPyanchetPotyo	KXPyanchet	KXPyanchetPotyo	DzXPyanchet	DzXPyanchetPotyo	QhZQhShienglyi	QhZQhXrynlyi	QhZQhDeuyi	thongqitmra
0342D-lim2	㐭		lím	lim2	2	44	4	2	"[""切三""]"	null		力稔反	《王一》力稔反，《王三》力稔反未收。	力稔切				來	寢	上	U+342D
034B8-zyi3	㒸		zŷi	zyi3	3	6	4	0	"[""藤田2018""]"	null		null		徐醉切				null	null	null	U+34B8
034F9-chyei3	㓹		chyêi	chyei3	3	14	7	0	"[""藤田2018""]"	null		此芮反		此芮切				null	null	null	U+34F9
03537-lu3	㔷		lû	lu3	3	47	14	2	"[""P3694r""]"	null		null		null		郎豆切		null	null	null	U+3537
0355F-khruei3	㕟		khruêi	khruei3	3	16	9	3	"[""P3696(1)v""]"	null		苦壞反		苦怪切				null	null	null	U+355F
03561-qhak4	㕡		qhak	qhak4	4	28	14	3	"[""Дх1372+3703""]"	null		null		呵各切				null	null	null	U+3561
03762-xyo2	㝢		xyó	xyo2	2	9	2	2	"[""切三""]"	于矩反		null		王矩切				云	麌	上	U+3762
03775-ngwi3	㝵		ŋə̂i	ngwi3	3	19	8	0	"[""藤田2018""]"	null		null		五溉切				null	null	null	U+3775
03775-twk4	㝵		tək	twk4	4	30	1	2	"[""P4746""]"	null		多則反		多則切				端	德	入	U+3775
037B7-gyang1	㞷		gyaŋ	gyang1	1	37	32	2	"[""切三""]"	null		null		巨王切				null	null	null	U+37B7
037B7-xuang1	㞷		xuaŋ	xuang1	1	38	9	2	"[""切三""]"	null		null		null		胡光切		null	null	null	U+37B7
038C7-dei3	㣇		dêi	dei3	3	13	5	0	"[""藤田2018""]"	null		null	羊至反：“又徒計反。”	特計切				null	null	null	U+38C7
038C7-ji3	㣇		jî	ji3	3	6	43	0	"[""藤田2018""]"	null		羊至反		羊至切				null	null	null	U+38C7
03944-liwng1	㥄		liəŋ	liwng1	1	49	4	2	"[""切三""]"	力膺反		六應反		力膺切				null	null	null	U+3944
0394F-then2	㥏		thén	then2	2	25	2	2	"[""切三""]"	null		他典反		他典切				null	null	null	U+394F
03951-qyu1	㥑		qyu	qyu1	1	43	2	2	"[""切三""]"	null		null		null		於求切		影	尤	平	U+3951
