pieutiwbyo	dziwbyo	dziwbyoNguaidziw	bushyu	bushyuZio	zhiwngjio	thongqitmra
0010004E00	一		一	1	0	U+4E00
0010005F0C	弌		一	1	0	U+5F0C
0010104E01	丁		一	1	1	U+4E01
0010104E03	七		一	1	1	U+4E03
0010204E07	万		一	1	2	U+4E07
0010204E08	丈		一	1	2	U+4E08
0010204E09	三		一	1	2	U+4E09
0010204E0A	上		一	1	2	U+4E0A
0010204E0B	下		一	1	2	U+4E0B
0010205F0E	弎		一	1	2	U+5F0E
001020842C	萬		一	1	2	U+842C
0010304E0F	丏		一	1	3	U+4E0F
0010404E16	世		一	1	4	U+4E16
0010404E18	丘		一	1	4	U+4E18
00104090B1	邱		一	1	4	U+90B1
0010704E26	並		一	1	7	U+4E26
0020004E28	丨		丨	2	0	U+4E28
0020104E29	丩		丨	2	1	U+4E29
0020204E2A	个		丨	2	2	U+4E2A
0020204E2B	丫		丨	2	2	U+4E2B
0020304E2D	中		丨	2	3	U+4E2D
0020404E31	丱		丨	2	4	U+4E31
0020405DE8	巨		丨	2	4	U+5DE8
0020604E32	串		丨	2	6	U+4E32
0030204E4B	之		丶	3	2	U+4E4B
0030304E39	丹		丶	3	3	U+4E39
0030404E3C	丼		丶	3	4	U+4E3C
0040204E45	久		丿	4	2	U+4E45
00402053CA	及		丿	4	2	U+53CA
0040704E56	乖		丿	4	7	U+4E56
0040804E58	乘		丿	4	8	U+4E58
0050104E5D	九		乙	5	1	U+4E5D
0050204E5E	乞		乙	5	2	U+4E5E
0060004E85	亅		亅	6	0	U+4E85
0060104E86	了		亅	6	1	U+4E86
0060304E88	予		亅	6	3	U+4E88
0060308C6B	豫		亅	6	3	U+8C6B
0060504E89	争		亅	6	5	U+4E89
0070004E8C	二		二	7	0	U+4E8C
0070005F0D	弍		二	7	0	U+5F0D
0070204E91	云		二	7	2	U+4E91
0070204E94	五		二	7	2	U+4E94
0070204E95	井		二	7	2	U+4E95
0080104EA1	亡		亠	8	1	U+4EA1
0080404EA4	交		亠	8	4	U+4EA4
0080404EA6	亦		亠	8	4	U+4EA6
0080504EA8	亨		亠	8	5	U+4EA8
0080604EAB	享		亠	8	6	U+4EAB
0080604EAC	京		亠	8	6	U+4EAC
0080704EAD	亭		亠	8	7	U+4EAD
0080704EAE	亮		亠	8	7	U+4EAE
0081104EB6	亶		亠	8	11	U+4EB6
0090004EBA	人		人	9	0	U+4EBA
0090204EC0	什		人	9	2	U+4EC0
0090204EC1	仁		人	9	2	U+4EC1
0090204EC3	仃		人	9	2	U+4EC3
0090204EC4	仄		人	9	2	U+4EC4
0090204EC7	仇		人	9	2	U+4EC7
0090204ECA	今		人	9	2	U+4ECA
0090204ECB	介		人	9	2	U+4ECB
0090304ED4	仔		人	9	3	U+4ED4
0090304ED7	仗		人	9	3	U+4ED7
0090304ED9	仙		人	9	3	U+4ED9
0090304EDF	仟		人	9	3	U+4EDF
