pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
0342D0342D	㐭	㐭	U+342D	U+342D
034B8034B8	㒸	㒸	U+34B8	U+34B8
034DD05211	㓝	刑	U+34DD	U+5211
034F9034F9	㓹	㓹	U+34F9	U+34F9
0353703537	㔷	㔷	U+3537	U+3537
03558053C3	㕘	參	U+3558	U+53C3
0355F0355F	㕟	㕟	U+355F	U+355F
0356103561	㕡	㕡	U+3561	U+3561
0356F05450	㕯	呐	U+356F	U+5450
035DB054B2	㗛	咲	U+35DB	U+54B2
035F3055D2	㗳	嗒	U+35F3	U+55D2
0376203762	㝢	㝢	U+3762	U+3762
0377503775	㝵	㝵	U+3775	U+3775
037B7037B7	㞷	㞷	U+37B7	U+37B7
0381005DA0	㠐	嶠	U+3810	U+5DA0
0382F04EE5	㠯	以	U+382F	U+4EE5
038A10596C	㢡	奬	U+38A1	U+596C
038C7038C7	㣇	㣇	U+38C7	U+38C7
0394403944	㥄	㥄	U+3944	U+3944
0394F0394F	㥏	㥏	U+394F	U+394F
0395103951	㥑	㥑	U+3951	U+3951
0395C0395C	㥜	㥜	U+395C	U+395C
039660611C	㥦	愜	U+3966	U+611C
039C6039C6	㧆	㧆	U+39C6	U+39C6
039C906262	㧉	扢	U+39C9	U+6262
039D10649D	㧑	撝	U+39D1	U+649D
039F1062FF	㧱	拿	U+39F1	U+62FF
03A4306434	㩃	搴	U+3A43	U+6434
03ABD06240	㪽	所	U+3ABD	U+6240
03ACA065D6	㫊	旖	U+3ACA	U+65D6
03ADA06612	㫚	昒	U+3ADA	U+6612
03B0A03B0A	㬊	㬊	U+3B0A	U+3B0A
03B2A053E0	㬪	叠	U+3B2A	U+53E0
03B8703B87	㮇	㮇	U+3B87	U+3B87
03B9E06976	㮞	楶	U+3B9E	U+6976
03BA306982	㮣	概	U+3BA3	U+6982
03BB30681A	㮳	栚	U+3BB3	U+681A
03BB506834	㮵	栴	U+3BB5	U+6834
03BCD069F3	㯍	槳	U+3BCD	U+69F3
03BF306AA0	㯳	檠	U+3BF3	U+6AA0
03C43098F2	㱃	飲	U+3C43	U+98F2
03C7F06BBB	㱿	殻	U+3C7F	U+6BBB
03C8B03C8B	㲋	㲋	U+3C8B	U+3C8B
03CB22C1C7	㲲	𬇇	U+3CB2	U+2C1C7
03D4E06F97	㵎	澗	U+3D4E	U+6F97
