zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang	xruek
1	一	一部	QIT	QIT‐bú	1
2	丨	丨部	KÚN	KÚN‐bú	1
3	丶	丶部	TRYÓ	TRYÓ‐bú	1
4	丿	丿部	PHET	PHET‐bú	1
5	乙	乙部	QRIT	QRIT‐bú	1
6	亅	亅部	GYAT	GYAT‐bú	1
7	二	二部	NÎ	NÎ‐bú	2
8	亠	亠部	DU	DU‐bú	2
9	人	人部	NIN	NIN‐bú (人)	2
10	儿	儿部	NIN	NIN‐bú (儿)	2
11	入	入部	NIP	NIP‐bú	2
12	八	八部	PRET	PRET‐bú	2
13	冂	冂部	KUEŊ	KUEŊ‐bú	2
14	冖	冖部	MEK	MEK‐bú (冖)	2
15	冫	冫部	PRYƏŊ	PRYƏŊ‐bú	2
16	几	几部	KÍ	KÍ‐bú	2
17	凵	凵部	KHYÁM	KHYÁM‐bú	2
18	刀	刀部	TAU	TAU‐bú	2
19	力	力部	LIƏK	LIƏK‐bú	2
20	勹	勹部	PRAU	PRAU‐bú	2
21	匕	匕部	PÍ	PÍ‐bú (匕)	2
22	匚	匚部	PYAŊ	PYAŊ‐bú (匚)	2
24	十	十部	DIP	DIP‐bú	2
25	卜	卜部	PUK	PUK‐bú	2
26	卩	卩部	CET	CET‐bú	2
27	厂	厂部	QHÁN	QHÁN‐bú	2
28	厶	厶部	SI	SI‐bú	2
29	又	又部	XYÛ	XYÛ‐bú	2
30	口	口部	KHÚ	KHÚ‐bú	3
31	囗	囗部	XYUI	XYUI‐bú (囗)	3
32	土	土部	THÓ	THÓ‐bú	3
33	士	士部	DZRIƏ́	DZRIƏ́‐bú	3
34	夂	夂部	TRÍ	TRÍ‐bú (夂)	3
36	夕	夕部	ZIEK	ZIEK‐bú	3
37	大	大部	DÂI	DÂI‐bú	3
38	女	女部	NRIÓ	NRIÓ‐bú	3
39	子	子部	CIƏ́	CIƏ́‐bú	3
40	宀	宀部	MIEN	MIEN‐bú	3
41	寸	寸部	CHÛN	CHÛN‐bú	3
42	小	小部	SIÉU	SIÉU‐bú	3
43	尢	尢部	QUAŊ	QUAŊ‐bú	3
44	尸	尸部	SHI	SHI‐bú	3
45	屮	屮部	THRIET	THRIET‐bú	3
46	山	山部	SREN	SREN‐bú	3
47	巛	巛部	THYEN	THYEN‐bú	3
48	工	工部	KUŊ	KUŊ‐bú	3
49	己	己部	KIƏ́	KIƏ́‐bú	3
50	巾	巾部	KRIN	KRIN‐bú	3
51	干	干部	KAN	KAN‐bú	3
52	幺	幺部	QEU	QEU‐bú	3
53	广	广部	ŊRIÉM	ŊRIÉM‐bú	3
54	廴	廴部	JÍN	JÍN‐bú	3
55	廾	廾部	KYÓŊ	KYÓŊ‐bú	3
56	弋	弋部	JIƏK	JIƏK‐bú	3
57	弓	弓部	KYUŊ	KYUŊ‐bú	3
58	彐	彐部	KRIÊI	KRIÊI‐bú	3
59	彡	彡部	SRAM	SRAM‐bú	3
60	彳	彳部	THRIEK	THRIEK‐bú	3
61	心	心部	SIM	SIM‐bú	4
62	戈	戈部	KUA	KUA‐bú	4
63	户	户部	XÓ	XÓ‐bú	4
64	手	手部	SHYÚ	SHYÚ‐bú (手)	4
65	支	支部	TIE	TIE‐bú	4
66	攴	攴部	PHROK	PHROK‐bú	4
67	文	文部	MYUN	MYUN‐bú	4
68	斗	斗部	TÚ	TÚ‐bú	4
69	斤	斤部	KIƏN	KIƏN‐bú	4
70	方	方部	PYAŊ	PYAŊ‐bú (方)	4
71	无	无部	MYO	MYO‐bú (无)	4
72	日	日部	NIT	NIT‐bú	4
73	曰	曰部	XYAT	XYAT‐bú	4
74	月	月部	ŊYAT	ŊYAT‐bú	4
75	木	木部	MUK	MUK‐bú	4
76	欠	欠部	KHIÂM	KHIÂM‐bú	4
77	止	止部	TIƏ́	TIƏ́‐bú	4
78	歹	歹部	ŊAT	ŊAT‐bú	4
79	殳	殳部	DYO	DYO‐bú	4
80	毋	毋部	MYO	MYO‐bú (毋)	4
81	比	比部	PÍ	PÍ‐bú (比)	4
82	毛	毛部	MAU	MAU‐bú	4
83	氏	氏部	DIÉ	DIÉ‐bú	4
84	气	气部	KHIƏ̂I	KHIƏ̂I‐bú	4
85	水	水部	SHÝI	SHÝI‐bú	4
86	火	火部	QHUÁ	QHUÁ‐bú	4
87	爪	爪部	CRÁU	CRÁU‐bú	4
88	父	父部	BYÓ	BYÓ‐bú	4
89	爻	爻部	XRAU	XRAU‐bú	4
90	爿	爿部	DZIAŊ	DZIAŊ‐bú	4
91	片	片部	PHÊN	PHÊN‐bú	4
92	牙	牙部	ŊRA	ŊRA‐bú	4
93	牛	牛部	ŊYU	ŊYU‐bú	4
94	犬	犬部	KHUÉN	KHUÉN‐bú	4
95	玄	玄部	XUEN	XUEN‐bú	5
96	玉	玉部	ŊYOK	ŊYOK‐bú	5
97	瓜	瓜部	KRUA	KRUA‐bú	5
98	瓦	瓦部	ŊRUÁ	ŊRUÁ‐bú	5
99	甘	甘部	KAM	KAM‐bú	5
100	生	生部	SRIEŊ	SRIEŊ‐bú	5
101	用	用部	JYÔŊ	JYÔŊ‐bú	5
102	田	田部	DEN	DEN‐bú	5
103	疋	疋部	SRIO	SRIO‐bú	5
104	疒	疒部	NREK	NREK‐bú	5
105	癶	癶部	PAT	PAT‐bú	5
106	白	白部	BRAK	BRAK‐bú	5
107	皮	皮部	BRIE	BRIE‐bú	5
108	皿	皿部	MRIÉŊ	MRIÉŊ‐bú	5
109	目	目部	MYUK	MYUK‐bú	5
110	矛	矛部	MYU	MYU‐bú	5
111	矢	矢部	SHÍ	SHÍ‐bú	5
112	石	石部	DIEK	DIEK‐bú	5
113	示	示部	ZHÎ	ZHÎ‐bú	5
114	禸	禸部	NYÚ	NYÚ‐bú	5
115	禾	禾部	XUA	XUA‐bú	5
