zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
1	東	上平聲一東	TUŊ	Diáŋbrieŋshieŋ‐I TUŊ
2	冬	上平聲二冬	TOŊ	Diáŋbrieŋshieŋ‐II TOŊ
3	鍾	上平聲三鍾	TYOŊ	Diáŋbrieŋshieŋ‐III TYOŊ
4	江	上平聲四江	KROŊ	Diáŋbrieŋshieŋ‐IV KROŊ
5	支	上平聲五支	TIE	Diáŋbrieŋshieŋ‐V TIE
6	脂	上平聲六脂	TI	Diáŋbrieŋshieŋ‐VI TI
7	之	上平聲七之	TIƏ	Diáŋbrieŋshieŋ‐VII TIƏ
8	微	上平聲八微	MYUI	Diáŋbrieŋshieŋ‐VIII MYUI
9	魚	上平聲九魚	ŊIO	Diáŋbrieŋshieŋ‐IX ŊIO
10	虞	上平聲十虞	ŊYO	Diáŋbrieŋshieŋ‐X ŊYO
11	模	上平聲十一模	MO	Diáŋbrieŋshieŋ‐XI MO
12	齊	上平聲十二齊	DZEI	Diáŋbrieŋshieŋ‐XII DZEI
13	佳	上平聲十三佳	KRE	Diáŋbrieŋshieŋ‐XIII KRE
14	皆	上平聲十四皆	KREI	Diáŋbrieŋshieŋ‐XIV KREI
15	灰	上平聲十五灰	QHUI	Diáŋbrieŋshieŋ‐XV QHUI
16	咍	上平聲十六咍	QHƏI	Diáŋbrieŋshieŋ‐XVI QHƏI
17	真	上平聲十七真	TIN	Diáŋbrieŋshieŋ‐XVII TIN
18	諄	上平聲十八諄	TYN	Diáŋbrieŋshieŋ‐XVIII TYN
19	臻	上平聲十九臻	CRIN	Diáŋbrieŋshieŋ‐XIX CRIN
20	文	上平聲二十文	MYUN	Diáŋbrieŋshieŋ‐XX MYUN
21	欣	上平聲二十一欣	QHIƏN	Diáŋbrieŋshieŋ‐XXI QHIƏN
22	元	上平聲二十二元	ŊYAN	Diáŋbrieŋshieŋ‐XXII ŊYAN
23	魂	上平聲二十三魂	XUN	Diáŋbrieŋshieŋ‐XXIII XUN
24	痕	上平聲二十四痕	XƏN	Diáŋbrieŋshieŋ‐XXIV XƏN
25	寒	上平聲二十五寒	XAN	Diáŋbrieŋshieŋ‐XXV XAN
26	桓	上平聲二十六桓	XUAN	Diáŋbrieŋshieŋ‐XXVI XUAN
27	删	上平聲二十七删	SRAN	Diáŋbrieŋshieŋ‐XXVII SRAN
28	山	上平聲二十八山	SREN	Diáŋbrieŋshieŋ‐XXVIII SREN
29	先	下平聲一先	SEN	Xrábrieŋshieŋ‐I SEN
30	仙	下平聲二仙	SIEN	Xrábrieŋshieŋ‐II SIEN
31	蕭	下平聲三蕭	SEU	Xrábrieŋshieŋ‐III SEU
32	宵	下平聲四宵	SIEU	Xrábrieŋshieŋ‐IV SIEU
33	肴	下平聲五肴	XRAU	Xrábrieŋshieŋ‐V XRAU
34	豪	下平聲六豪	XAU	Xrábrieŋshieŋ‐VI XAU
35	歌	下平聲七歌	KA	Xrábrieŋshieŋ‐VII KA
36	戈	下平聲八戈	KUA	Xrábrieŋshieŋ‐VIII KUA
37	麻	下平聲九麻	MRA	Xrábrieŋshieŋ‐IX MRA
38	陽	下平聲十陽	JIAŊ	Xrábrieŋshieŋ‐X JIAŊ
39	唐	下平聲十一唐	DAŊ	Xrábrieŋshieŋ‐XI DAŊ
40	庚	下平聲十二庚	KRAŊ	Xrábrieŋshieŋ‐XII KRAŊ
41	耕	下平聲十三耕	KREŊ	Xrábrieŋshieŋ‐XIII KREŊ
42	清	下平聲十四清	CHIEŊ	Xrábrieŋshieŋ‐XIV CHIEŊ
43	青	下平聲十五青	CHEŊ	Xrábrieŋshieŋ‐XV CHEŊ
44	蒸	下平聲十六蒸	TIƏŊ	Xrábrieŋshieŋ‐XVI TIƏŊ
45	登	下平聲十七登	TƏŊ	Xrábrieŋshieŋ‐XVII TƏŊ
46	尤	下平聲十八尤	XYU	Xrábrieŋshieŋ‐XVIII XYU
47	侯	下平聲十九侯	XU	Xrábrieŋshieŋ‐XIX XU
48	幽	下平聲二十幽	QIU	Xrábrieŋshieŋ‐XX QIU
49	侵	下平聲二十一侵	CHIM	Xrábrieŋshieŋ‐XXI CHIM
50	覃	下平聲二十二覃	DƏM	Xrábrieŋshieŋ‐XXII DƏM
51	談	下平聲二十三談	DAM	Xrábrieŋshieŋ‐XXIII DAM
52	鹽	下平聲二十四鹽	JIEM	Xrábrieŋshieŋ‐XXIV JIEM
53	添	下平聲二十五添	THEM	Xrábrieŋshieŋ‐XXV THEM
54	咸	下平聲二十六咸	XREM	Xrábrieŋshieŋ‐XXVI XREM
55	銜	下平聲二十七銜	XRAM	Xrábrieŋshieŋ‐XXVII XRAM
