zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang
1	東	上平聲一東	TUŊ	Diáŋbrieŋshieŋ‐I TUŊ
2	冬	上平聲二冬	TOŊ	Diáŋbrieŋshieŋ‐II TOŊ
3	江	上平聲三江	KROŊ	Diáŋbrieŋshieŋ‐III KROŊ
4	支	上平聲四支	TIE	Diáŋbrieŋshieŋ‐IV TIE
5	微	上平聲五微	MYUI	Diáŋbrieŋshieŋ‐V MYUI
6	魚	上平聲六魚	ŊIO	Diáŋbrieŋshieŋ‐VI ŊIO
7	虞	上平聲七虞	ŊYO	Diáŋbrieŋshieŋ‐VII ŊYO
8	齊	上平聲八齊	DZEI	Diáŋbrieŋshieŋ‐VIII DZEI
9	佳	上平聲九佳	KRE	Diáŋbrieŋshieŋ‐IX KRE
10	灰	上平聲十灰	QHUI	Diáŋbrieŋshieŋ‐X QHUI
11	真	上平聲十一真	TIN	Diáŋbrieŋshieŋ‐XI TIN
12	文	上平聲十二文	MYUN	Diáŋbrieŋshieŋ‐XII MYUN
13	元	上平聲十三元	ŊYAN	Diáŋbrieŋshieŋ‐XIII ŊYAN
14	寒	上平聲十四寒	XAN	Diáŋbrieŋshieŋ‐XIV XAN
15	删	上平聲十五删	SRAN	Diáŋbrieŋshieŋ‐XV SRAN
16	先	下平聲一先	SEN	Xrábrieŋshieŋ‐I SEN
17	蕭	下平聲二蕭	SEU	Xrábrieŋshieŋ‐II SEU
18	肴	下平聲三肴	XRAU	Xrábrieŋshieŋ‐III XRAU
19	豪	下平聲四豪	XAU	Xrábrieŋshieŋ‐IV XAU
20	歌	下平聲五歌	KA	Xrábrieŋshieŋ‐V KA
21	麻	下平聲六麻	MRA	Xrábrieŋshieŋ‐VI MRA
22	陽	下平聲七陽	JIAŊ	Xrábrieŋshieŋ‐VII JIAŊ
23	庚	下平聲八庚	KRAŊ	Xrábrieŋshieŋ‐VIII KRAŊ
24	青	下平聲九青	CHEŊ	Xrábrieŋshieŋ‐IX CHEŊ
25	蒸	下平聲十蒸	TIƏŊ	Xrábrieŋshieŋ‐X TIƏŊ
26	尤	下平聲十一尤	XYU	Xrábrieŋshieŋ‐XI XYU
27	侵	下平聲十二侵	CHIM	Xrábrieŋshieŋ‐XII CHIM
28	覃	下平聲十三覃	DƏM	Xrábrieŋshieŋ‐XIII DƏM
29	鹽	下平聲十四鹽	JIEM	Xrábrieŋshieŋ‐XIV JIEM
30	咸	下平聲十五咸	XREM	Xrábrieŋshieŋ‐XV XREM
31	董	上聲一董	TÚŊ	Diáŋshieŋ‐I TÚŊ
32	腫	上聲二腫	TYÓŊ	Diáŋshieŋ‐II TYÓŊ
33	講	上聲三講	KRÓŊ	Diáŋshieŋ‐III KRÓŊ
34	紙	上聲四紙	TIÉ	Diáŋshieŋ‐IV TIÉ
35	尾	上聲五尾	MYÚI	Diáŋshieŋ‐V MYÚI
36	語	上聲六語	ŊIÓ	Diáŋshieŋ‐VI ŊIÓ
37	麌	上聲七麌	ŊYÓ	Diáŋshieŋ‐VII ŊYÓ
38	薺	上聲八薺	DZÉI	Diáŋshieŋ‐VIII DZÉI
39	蟹	上聲九蟹	XRÉ	Diáŋshieŋ‐IX XRÉ
40	賄	上聲十賄	QHÚI	Diáŋshieŋ‐X QHÚI
41	軫	上聲十一軫	TÍN	Diáŋshieŋ‐XI TÍN
42	吻	上聲十二吻	MYÚN	Diáŋshieŋ‐XII MYÚN
43	阮	上聲十三阮	ŊYÁN	Diáŋshieŋ‐XIII ŊYÁN
44	旱	上聲十四旱	XÁN	Diáŋshieŋ‐XIV XÁN
45	潸	上聲十五潸	SRÁN	Diáŋshieŋ‐XV SRÁN
46	銑	上聲十六銑	SÉN	Diáŋshieŋ‐XVI SÉN
47	篠	上聲十七篠	SÉU	Diáŋshieŋ‐XVII SÉU
48	巧	上聲十八巧	KHRÁU	Diáŋshieŋ‐XVIII KHRÁU
49	皓	上聲十九皓	XÁU	Diáŋshieŋ‐XIX XÁU
50	哿	上聲二十哿	KÁ	Diáŋshieŋ‐XX KÁ
51	馬	上聲二十一馬	MRÁ	Diáŋshieŋ‐XXI MRÁ
52	養	上聲二十二養	JIÁŊ	Diáŋshieŋ‐XXII JIÁŊ
53	梗	上聲二十三梗	KRÁŊ	Diáŋshieŋ‐XXIII KRÁŊ
54	迥	上聲二十四迥	XUÉŊ	Diáŋshieŋ‐XXIV XUÉŊ
55	有	上聲二十五有	XYÚ	Diáŋshieŋ‐XXV XYÚ
56	寢	上聲二十六寢	CHÍM	Diáŋshieŋ‐XXVI CHÍM
57	感	上聲二十七感	KƏ́M	Diáŋshieŋ‐XXVII KƏ́M
