zio	xryn_tuan	xryn_driang
1	東	上平聲一東
2	冬	上平聲二冬
3	鍾	上平聲三鍾
4	江	上平聲四江
5	支	上平聲五支
6	脂	上平聲六脂
7	之	上平聲七之
8	微	上平聲八微
9	魚	上平聲九魚
10	虞	上平聲十虞
11	模	上平聲十一模
12	齊	上平聲十二齊
13	佳	上平聲十三佳
14	皆	上平聲十四皆
15	灰	上平聲十五灰
16	咍	上平聲十六咍
17	真	上平聲十七真
18	諄	上平聲十八諄
19	臻	上平聲十九臻
20	文	上平聲二十文
21	欣	上平聲二十一欣
22	元	上平聲二十二元
23	魂	上平聲二十三魂
24	痕	上平聲二十四痕
25	寒	上平聲二十五寒
26	桓	上平聲二十六桓
27	删	上平聲二十七删
28	山	上平聲二十八山
29	先	下平聲一先
30	仙	下平聲二仙
31	蕭	下平聲三蕭
32	宵	下平聲四宵
33	肴	下平聲五肴
34	豪	下平聲六豪
35	歌	下平聲七歌
36	戈	下平聲八戈
37	麻	下平聲九麻
38	陽	下平聲十陽
39	唐	下平聲十一唐
40	庚	下平聲十二庚
41	耕	下平聲十三耕
42	清	下平聲十四清
43	青	下平聲十五青
44	蒸	下平聲十六蒸
45	登	下平聲十七登
46	尤	下平聲十八尤
47	侯	下平聲十九侯
48	幽	下平聲二十幽
49	侵	下平聲二十一侵
50	覃	下平聲二十二覃
51	談	下平聲二十三談
52	鹽	下平聲二十四鹽
53	添	下平聲二十五添
54	咸	下平聲二十六咸
55	銜	下平聲二十七銜
56	嚴	下平聲二十八嚴
57	凡	下平聲二十九凡
58	董	上聲一董
59	腫	上聲二腫
60	講	上聲三講
61	紙	上聲四紙
62	旨	上聲五旨
63	止	上聲六止
64	尾	上聲七尾
65	語	上聲八語
66	麌	上聲九麌
67	姥	上聲十姥
68	薺	上聲十一薺
69	蟹	上聲十二蟹
70	駭	上聲十三駭
71	賄	上聲十四賄
72	海	上聲十五海
73	軫	上聲十六軫
74	準	上聲十七準
75	吻	上聲十八吻
76	隱	上聲十九隱
77	阮	上聲二十阮
78	混	上聲二十一混
79	很	上聲二十二很
80	旱	上聲二十三旱
81	緩	上聲二十四緩
82	潸	上聲二十五潸
83	産	上聲二十六産
84	銑	上聲二十七銑
85	獮	上聲二十八獮
86	篠	上聲二十九篠
87	小	上聲三十小
88	巧	上聲三十一巧
89	皓	上聲三十二皓
90	哿	上聲三十三哿
91	果	上聲三十四果
92	馬	上聲三十五馬
93	養	上聲三十六養
94	蕩	上聲三十七蕩
95	梗	上聲三十八梗
96	耿	上聲三十九耿
97	靜	上聲四十靜
98	迥	上聲四十一迥
99	拯	上聲四十二拯
100	等	上聲四十三等
101	有	上聲四十四有
102	厚	上聲四十五厚
103	黝	上聲四十六黝
104	寢	上聲四十七寢
105	感	上聲四十八感
106	敢	上聲四十九敢
107	琰	上聲五十琰
108	忝	上聲五十一忝
109	豏	上聲五十三豏
110	檻	上聲五十四檻
111	儼	上聲五十二儼
112	范	上聲五十五范
113	送	去聲一送
114	宋	去聲二宋
115	用	去聲三用
116	絳	去聲四絳
117	寘	去聲五寘
118	至	去聲六至
119	志	去聲七志
120	未	去聲八未
121	御	去聲九御
122	遇	去聲十遇
123	暮	去聲十一暮
124	霽	去聲十二霽
125	祭	去聲十三祭
126	泰	去聲十四泰
127	卦	去聲十五卦
128	怪	去聲十六怪
129	夬	去聲十七夬
130	隊	去聲十八隊
131	代	去聲十九代
132	廢	去聲二十廢
133	震	去聲二十一震
134	稕	去聲二十二稕
135	問	去聲二十三問
136	焮	去聲二十四焮
137	願	去聲二十五願
138	慁	去聲二十六慁
139	恨	去聲二十七恨
140	翰	去聲二十八翰
141	换	去聲二十九换
142	諫	去聲三十諫
143	襇	去聲三十一襇
144	霰	去聲三十二霰
145	線	去聲三十三線
146	嘯	去聲三十四嘯
147	笑	去聲三十五笑
148	效	去聲三十六效
149	號	去聲三十七號
150	個	去聲三十八個
151	過	去聲三十九過
152	禡	去聲四十禡
153	漾	去聲四十一漾
154	宕	去聲四十二宕
155	敬	去聲四十三映
156	諍	去聲四十四諍
157	勁	去聲四十五勁
158	徑	去聲四十六徑
159	證	去聲四十七證
160	嶝	去聲四十八嶝
161	宥	去聲四十九宥
162	候	去聲五十候
163	幼	去聲五十一幼
164	沁	去聲五十二沁
165	勘	去聲五十三勘
166	闞	去聲五十四闞
167	艷	去聲五十五艷
168	㮇	去聲五十六㮇
169	陷	去聲五十八陷
170	鑑	去聲五十九鑑
171	釅	去聲五十七釅
172	梵	去聲六十梵
173	屋	入聲一屋
174	沃	入聲二沃
175	燭	入聲三燭
176	覺	入聲四覺
177	質	入聲五質
178	術	入聲六術
179	櫛	入聲七櫛
180	物	入聲八物
181	迄	入聲九迄
182	月	入聲十月
183	没	入聲十一没
184	曷	入聲十二曷
185	末	入聲十三末
186	黠	入聲十四黠
187	鎋	入聲十五鎋
188	屑	入聲十六屑
189	薛	入聲十七薛
190	藥	入聲十八藥
191	鐸	入聲十九鐸
192	陌	入聲二十陌
193	麥	入聲二十一麥
194	昔	入聲二十二昔
195	錫	入聲二十三錫
196	職	入聲二十四職
197	德	入聲二十五德
198	緝	入聲二十六緝
199	合	入聲二十七合
200	盍	入聲二十八盍
201	葉	入聲二十九葉
202	怗	入聲三十怗
203	洽	入聲三十一洽
204	狎	入聲三十二狎
205	業	入聲三十三業
206	乏	入聲三十四乏
